NAME,PRODUCT CATEGORY,SUPPLIER,UNIT PRICE,MANUFACTURER,MFR PART,SUPPLIER SKU,UOM,QTY BID,BID UNIT PRICE,EXTENDED COST,EXTENDED BID,MARGIN,CONTRACT,DATE
"8 oz Ball Pein Hammer, 11"" Fiberglass Handle","Hand Tools - Hammers",Zoro,$12.99,STAR ASIA,63308,G6897318,Each,10,$17.29,$129.90,$172.90,33%,RCOC 7803,2026-01-31
"16 oz Ball Pein Hammer, 12"" Fiberglass Handle","Hand Tools - Hammers",Zoro,$13.15,PERFORMANCE TOOL,M7032B,G500550149,Each,3,$17.76,$39.45,$53.25,35%,RCOC 7803,2026-01-31
"3 lb Blacksmith Hammer, 10"" Fiberglass Handle","Hand Tools - Hammers",Zoro,$17.65,WESTWARD,2DBU5,G1958451,Each,50,$22.95,$882.50,"$1,147.50",30%,RCOC 7803,2026-01-31
"6 ft Folding Wood Ruler, Red End, Inches (Lufkin 066)","Hand Tools - Measuring Tools",Zoro,$20.49,CRESCENT LUFKIN,066FN,G7867242,Each,5,$27.66,$102.45,$138.30,35%,RCOC 7803,2026-01-31
"25 ft Tape Measure, 1-1/4"" Blade, Stanley FATMAX","Hand Tools - Measuring Tools",Zoro,$19.70,STANLEY,33-725,G1202564,Each,35,$25.61,$689.50,$896.35,30%,RCOC 7803,2026-01-31
"Nylon Twine #18 x 250 ft, Orange","Hardware - Cordage & Rope",Zoro,$8.75,ZORO SELECT,89O-WA,89O-WA,Each,20,$11.64,$175.00,$232.80,33%,RCOC 7803,2026-01-31
