Product Description,Manufacturer,Mfr Part Number,Product Series,Category,Subcategory,UOM,Preferred Supplier,Preferred Supplier Item,Preferred Unit Cost,Alternative Supplier,Alternative Supplier Item,Alternative Unit Cost,Savings Percent,Last Quote Date,Contract Used,Qty Ordered,Total Cost,Notes
"Dinner Napkin, White, 1/8 Fold, 2-Ply, PK3000",Empress,DN 281517B,,Janitorial,Paper Products,Pack of 3000,Grainger,846N89,70.00,Zoro,,More expensive,,2026-01-29,RCOC IFB 7732,750,52500.00,Grainger cheaper than Zoro on napkins. Quote 2063445243
"Disposable Hot Cup, 8 oz, White, PK1000",Dixie,5338CD,,Janitorial,Paper Products,Pack of 1000,Zoro,TBD,123.99,Grainger,,180.00,31%,2026-01-29,RCOC IFB 7732,25,3099.75,MAJOR SAVINGS! 31% cheaper than Grainger. Coffee Haze pattern.
"Toilet Paper, 2-Ply, 550 Sheets/Roll, PK80",Kimberly-Clark Professional,04460,Scott Essential,Janitorial,Paper Products,Pack of 80,Zoro,G4519551,96.29,Grainger,,111.02,13%,2026-01-29,RCOC IFB 7732,97,9340.13,13% savings. 550 sheets/roll. FSC certified. 183ft length.
"Cloth Rag, Reclaimed White Cotton, 25lb Box",Absorbents Midwest,30-450-B,,Janitorial,Cleaning,Each (25lb),Zoro,G614665951,48.39,Grainger,G440025PC,50.00,3%,2026-01-29,RCOC IFB 7732,90,4355.10,White cotton sheeting. Reclaimed material.
"Facial Tissue, 2-Ply, 90 Sheets/Box, PK36",Kimberly-Clark Professional,21270,Comfort Touch,Janitorial,Paper Products,Pack of 36,Zoro,G306113302,76.25,Grainger,,95.00,20%,2026-01-29,RCOC IFB 7732,8,610.00,20% savings! 90 sheets per box.
"Industrial Wiper, Blue, HydroKnit, 19.5x13.5, 6/CTN",Kimberly-Clark Professional,35431,WYPALL X60,Industrial,Wipers,Carton of 6,Zoro,G2856357,166.99,Grainger,,234.78,29%,2026-01-29,RCOC RFQ 7731,333,55606.67,HUGE SAVINGS! 29% cheaper. 130 sheets/roll. HydroKnit technology. Quote 2063475035.
"Windshield Wiper Blade, 18 inch",Prime Vision,PRIMPBB18,,Automotive,Maintenance,Each,Zoro,G006888180,7.99,,,,,2026-01-29,RCOC RFQ 7798,20,159.80,Delivery by Feb 5. In stock.
"Windshield Wiper Blade, 22 inch",Prime Vision,PRIMPBB22,,Automotive,Maintenance,Each,Zoro,G806888205,7.89,,,,,2026-01-29,RCOC RFQ 7798,80,631.20,Delivery by Feb 3. In stock.
"Windshield Wiper Blade, 20 inch",Prime Vision,PRIMPBB20,,Automotive,Maintenance,Each,Zoro,G306888170,7.89,,,,,2026-01-29,RCOC RFQ 7798,75,591.75,Delivery by Feb 2. In stock.
