NAME,PRODUCT CATEGORY,SUPPLIER,UNIT PRICE,MANUFACTURER,MFR PART,SUPPLIER SKU,UOM,QTY BID,BID UNIT PRICE,EXTENDED COST,EXTENDED BID,MARGIN,CONTRACT,BRAND REQUIREMENT,DATE
"EATON Aeroquip Hydraulic Quick Connect Coupler Female 5601-8-10S","Hydraulic Fittings - Quick Couplers",Zoro,$42.60,EATON AEROQUIP,5601-8-10S,G1343833,Each,40,$53.25,"$1,704.00","$2,130.00",25%,RCOC 7799,REQUIRED - NO SUBSTITUTIONS,2026-01-31
"EATON Aeroquip Hydraulic Quick Connect Coupler Male 5602-8-10S","Hydraulic Fittings - Quick Couplers",Zoro,$19.86,EATON AEROQUIP,5602-8-10S,G3022984,Each,40,$25.42,$794.40,"$1,016.80",28%,RCOC 7799,REQUIRED - NO SUBSTITUTIONS,2026-01-31
"Milton 745 Air Coupler Body 1/4"" NPT Female (A-Style)","Pneumatic Fittings - Air Couplers",Zoro,$15.61,MILTON,745,G702650777,Each,30,$20.84,$468.30,$625.20,33%,RCOC 7799,All Brands Acceptable,2026-01-31
"Milton MI1815S 1/2"" NPT Female G-Style Quick Coupler","Pneumatic Fittings - Air Couplers",Zoro,$53.15,MILTON,MI1815S,G310771697,Each,20,$66.44,"$1,063.00","$1,328.80",25%,RCOC 7799,All Brands Acceptable,2026-01-31
"Milton S-777 1/4"" Male Plug A-Style Air Coupling","Pneumatic Fittings - Air Couplers",Zoro,$5.49,MILTON,S-777,G502652599,Each,50,$7.14,$279.99,$357.00,30%,RCOC 7799,All Brands Acceptable,2026-01-31
"Milton 133 Safety Blow Gun with 10"" Extension","Pneumatic Tools - Blow Guns",Zoro,$24.15,MILTON,133,G5034611,Each,5,$32.15,$120.75,$160.75,33%,RCOC 7799,All Brands Acceptable,2026-01-31
"LOCKNLUBE 353 Professional Series Grease Gun 7500 PSI","Lubrication Equipment - Grease Guns",LOCKNLUBE Direct,$119.99,LOCKNLUBE,353 (LNL353),LNL353,Each,3,$150.00,$359.97,$450.00,25%,RCOC 7799,REQUIRED - NO SUBSTITUTIONS,2026-01-31
"Milton 1817 G-Style Plug 1/2"" MNPT Coupler Nipple","Pneumatic Fittings - Coupler Nipples",Zoro,$4.48,MILTON,1817,G5037061,Each,10,$5.98,$44.78,$59.80,33%,RCOC 7799,All Brands Acceptable,2026-01-31
