Item #,Description,ASTM Specification,Quantity,Unit,Your Part Number,Unit Price,Extended Total,Lead Time,Notes
95,R3-1 MOVE. PROH. - NO RIGHT TURN (SYM) 36X36,ASTM TYPE IV,5,each,,,,,
96,R3-4 MOVE. PROH. - NO U-TURN (SYM) 36X36,ASTM TYPE IV,5,each,,,,,
97,R4-21L LEFT TURN ONLY (WORDS) 24X30,ASTM TYPE IV,5,each,,,,,
98,R4-21R RIGHT TURN ONLY (WORDS) 24X30,ASTM TYPE IV,5,each,,,,,
99,R6-1L ONE WAY (LEFT) 30X10,ASTM TYPE IV,15,each,,,,,
100,R6-1R ONE WAY (RIGHT) 30X10,ASTM TYPE IV,15,each,,,,,
101,W1-6RL LARGE ARROW (1-DIRECTION) 60X30X0.080,"ASTM TYPE XI, FY",5,each,,,,,
102,W1-6RL LARGE ARROW (1-DIRECTION) 72X36X0.125,"ASTM TYPE XI, FY",5,each,,,,,
103,W1-7RL LARGE ARROW (2-DIRECTION) 60X30X0.080,"ASTM TYPE XI, FY",5,each,,,,,
104,W1-7RL LARGE ARROW (2-DIRECTION) 72X36X0.125,"ASTM TYPE XI, FY",5,each,,,,,
105,W1-8RL CHEVRON ALIGN 30X36,"ASTM TYPE XI, FY",7,each,,,,,
106,W1-8RL CHEVRON ALIGN 36X48,"ASTM TYPE XI, FY",7,each,,,,,
107,W4-4P CROSS TRAFFIC DOES NOT STOP 36X18,"ASTM TYPE XI, FY",7,each,,,,,
108,"R100 WEIGHT BRIDGE, ON BRIDGE AHEAD (BLANK)(SUB-LOCAL) 24X60",ASTM TYPE IV,5,each,,,,,
109,R100 WEIGHT BRIDGE (BLANK)(SUB-LOCAL) 24X36,ASTM TYPE IV,5,each,,,,,
